#anno-id:3023
#text:본전의 조각상들은 사람, 문학의 신, 그리고 신비롭게 병렬로 놓은 전쟁의 신인 Mo를 나타낸다.
0	본전의	본전.n	Importance	B-Factor
6	있는	_	_	I-Product
7	화학무기를	_	_	I-Product
8	생산하고	생산하다.v	Manufacturing	O
9	있나	_	_	O
10	?	_	_	O

#anno-id:3427
#text:테헤란은 이란이 고유의 신경작용제 생산 능력의 목표에 도달하도록 도와줄 수 있었던 러시아와 중국의 기관들로부터 상당한 생산 기술, 훈련, 전문가, 장비와 화학물질을 계속해서 얻으려고 하고 있다.
0	테헤란은	_	_	O
1	이란이	_	_	B-Event
2	고유의	_	_	I-Event
3	신경작용제	_	_	I-Event
4	생산	_	_	I-Event
5	능력의	_	_	I-Event
6	목표에	_	_	I-Event
7	도달하도록	_	_	I-Event
8	도와줄	_	_	I-Event
9	수	수_있다.a	Capability	I-Event
10	있었던	수_있다.a	Capability	O
11	러시아와	_	_	O
12	중국의	_	_	O
13	기관들로부터	_	_	O
14	상당한	_	_	B-Entity
15	생산	_	_	I-Entity
16	기술,	_	_	I-Entity
17	훈련,	_	_	I-Entity
18	전문가,	_	_	I-Entity
19	장비와	_	_	I-Entity
20	화학물질을	_	_	I-Entity
21	계속해서	_	_	O
22	얻으려고	_	_	O
23	하고	_	_	O
24	있다.	_	_	O

#anno-id:3435
#text:테헤란은 이란이 고유의 신경작용제 생산 능력의 목표에 도달하도록 도와줄 수 있었던 러시아와 중국의 기관들로부터 상당한 생산 기술, 훈련, 전문가, 장비와 화학물질을 계속해서 얻으려고 하고 있다.
0	테헤란은	_	_	O
1	이란이	_	_	O
2	고유의	_	_	O
3	신경작용제	_	_	O
4	생산	_	_	O
5	능력의	_	_	O
6	목표에	_	_	O
7	도달하도록	_	_	O
8	도와줄	_	_	O
9	수	_	_	O
10	있었던	_	_	O
11	러시아와	_	_	O
12	중국의	_	_	O
13	기관들로부터	_	_	O
14	상당한	_	_	O
15	생산	_	_	O
16	기술,	_	_	O
17	훈련,	훈련.n	Education_teaching	O
18	전문가,	_	_	O
19	장비와	_	_	O
20	화학물질을	_	_	O
21	계속해서	_	_	O
22	얻으려고	_	_	O
23	하고	_	_	O
24	있다.	_	_	O

#anno-id:3441
#text:1990년대 초에 이란은 소문에 의하면 독소 리신의 생산에 사용되는 120 톤의 아주까리 씨를 확보하였다.
0	1990년대	_	_	O
1	초에	_	_	O
2	이란은	_	_	O
3	소문에	_	_	O
4	의하면	_	_	O
5	독소	_	_	O
6	리신의	_	_	O
7	생산에	_	_	O
8	사용되는	_	_	O
9	120	_	_	B-Count
10	톤의	톤.n	Measure_mass	O
11	아주까리	_	_	B-Stuff
12	씨를	_	_	I-Stuff
13	확보하였다.	_	_	O

#anno-id:3454
#text:이란은 또한 외국 전문가들과의 여러 차례의 과학 교류에도 참여하였다.
0	이란은	_	_	O
1	또한	_	_	O
2	외국	_	_	B-Interlocutor_2
3	전문가들과의	_	_	I-Interlocutor_2
4	여러	_	_	O
5	차례의	_	_	O
6	과학	_	_	B-Topic
7	교류에도	교류.n	Discussion	O
8	참여하였다.	_	_	O

#anno-id:3466
#text:과거 소비에트 연방이 개발한 새로운 이성분 작용제의 많은 성분들은 화학물질에 대한 화학무기금지협약의 목록에 들어있지 않고 화학무기 사용과의 연관을 애매하게 하면서, 합법적으로 민간에서 사용되고 있다.
0	과거	_	_	B-Product
1	소비에트	_	_	I-Product
2	연방이	_	_	I-Product
3	개발한	_	_	I-Product
4	새로운	_	_	I-Product
5	이성분	_	_	I-Product
6	작용제의	_	_	I-Product
7	많은	_	_	O
8	성분들은	성분.n	Ingredients	O
9	화학물질에	_	_	O
10	대한	_	_	O
11	화학무기금지협약의	_	_	O
12	목록에	_	_	O
13	들어있지	_	_	O
14	않고	_	_	O
15	화학무기	_	_	O
16	사용과의	_	_	O
17	연관을	_	_	O
18	애매하게	_	_	O
19	하면서,	_	_	O
20	합법적으로	_	_	O
21	민간에서	_	_	O
22	사용되고	_	_	O
23	있다.	_	_	O

#anno-id:3468
#text:과거 소비에트 연방이 개발한 새로운 이성분 작용제의 많은 성분들은 화학물질에 대한 화학무기금지협약의 목록에 들어있지 않고 화학무기 사용과의 연관을 애매하게 하면서, 합법적으로 민간에서 사용되고 있다.
0	과거	_	_	O
1	소비에트	_	_	O
2	연방이	_	_	O
3	개발한	_	_	O
4	새로운	_	_	O
5	이성분	_	_	O
6	작용제의	_	_	O
7	많은	_	_	O
8	성분들은	_	_	O
9	화학물질에	_	_	O
10	대한	_	_	O
11	화학무기금지협약의	_	_	B-Instrument
12	목록에	_	_	O
13	들어있지	_	_	O
14	않고	_	_	O
15	화학무기	_	_	O
16	사용과의	사용.n	Using	O
17	연관을	_	_	O
18	애매하게	_	_	O
19	하면서,	_	_	O
20	합법적으로	_	_	O
21	민간에서	_	_	O
22	사용되고	_	_	O
23	있다.	_	_	O

#anno-id:3470
#text:과거 소비에트 연방이 개발한 새로운 이성분 작용제의 많은 성분들은 화학물질에 대한 화학무기금지협약의 목록에 들어있지 않고 화학무기 사용과의 연관을 애매하게 하면서, 합법적으로 민간에서 사용되고 있다.
0	과거	_	_	O
1	소비에트	_	_	O
2	연방이	_	_	O
3	개발한	_	_	O
4	새로운	_	_	O
5	이성분	_	_	O
6	작용제의	_	_	O
7	많은	_	_	O
8	성분들은	_	_	O
9	화학물질에	_	_	O
10	대한	_	_	O
11	화학무기금지협약의	_	_	O
12	목록에	_	_	O
13	들어있지	_	_	O
14	않고	_	_	O
15	화학무기	_	_	O
16	사용과의	_	_	O
17	연관을	_	_	O
18	애매하게	_	_	O
19	하면서,	_	_	O
20	합법적으로	합법적.n	Legality	O
21	민간에서	_	_	B-Action
22	사용되고	_	_	I-Action
23	있다.	_	_	O

#anno-id:3471
#text:QN : 러시아는 아직도 화학무기를 연구하고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	러시아는	_	_	B-Researcher
3	아직도	_	_	B-Time
4	화학무기를	_	_	B-Topic
5	연구하고	연구하다.a	Research	O
6	있나	_	_	O
7	?	_	_	O

#anno-id:3479
#text:QN : 러시아는 핵.생물.화학 무기를 판매하고 있나 ?
0	QN	_	_	O
1	:	_	_	O
2	러시아는	_	_	B-Seller
3	핵.생물.화학	_	_	B-Goods
4	무기를	_	_	I-Goods
5	판매하고	판매하다.v	Commerce_sell	O
6	있나	_	_	O
7	?	_	_	O

#anno-id:3482
#text:이 공격은 독일에서 리비아 테러리스트의 활동 직후에 수행된 트리폴리에 대한 미국의 폭격에 대한 보복으로 행해졌다.
0	이	_	_	O
1	공격은	_	_	O
2	독일에서	_	_	B-Time
3	리비아	_	_	I-Time
4	테러리스트의	_	_	I-Time
5	활동	_	_	I-Time
6	직후에	_	_	I-Time
7	수행된	수행되다.v	Intentionally_act	O
8	트리폴리에	_	_	B-Act
9	대한	_	_	I-Act
10	미국의	_	_	I-Act
11	폭격에	_	_	I-Act
12	대한	_	_	O
13	보복으로	_	_	O
14	행해졌다.	_	_	O

#anno-id:3484
#text:이 공격은 독일에서 리비아 테러리스트의 활동 직후에 수행된 트리폴리에 대한 미국의 폭격에 대한 보복으로 행해졌다.
0	이	_	_	O
1	공격은	_	_	O
2	독일에서	_	_	O
3	리비아	_	_	O
4	테러리스트의	_	_	O
5	활동	_	_	O
6	직후에	_	_	O
7	수행된	_	_	O
8	트리폴리에	_	_	O
9	대한	_	_	O
10	미국의	_	_	O
11	폭격에	폭격.n	Attack	O
12	대한	_	_	O
13	보복으로	_	_	O
14	행해졌다.	_	_	O

#anno-id:3486
#text:QN : 리비아는 탄도 미사일의 일부를 사용하였나 ?
0	QN	_	_	O
1	:	_	_	O
2	리비아는	_	_	B-Agent
3	탄도	_	_	B-Instrument
4	미사일의	_	_	I-Instrument
5	일부를	_	_	I-Instrument
6	사용하였나	사용하다.v	Using	O
7	?	_	_	O

#anno-id:3489
#text:이란은 리비아와 북한으로부터 스커드-B 탄도 미사일을 최초로 획득하였고 이들을 이란 - 이라크 전쟁 중에 사용하였다.
0	이란은	_	_	B-Agent
1	리비아와	_	_	O
2	북한으로부터	_	_	O
3	스커드-B	_	_	O
4	탄도	_	_	O
5	미사일을	_	_	O
6	최초로	_	_	O
7	획득하였고	_	_	O
8	이들을	_	_	B-Instrument
9	이란	_	_	B-Time
10	-	_	_	I-Time
11	이라크	_	_	I-Time
12	전쟁	_	_	I-Time
13	중에	_	_	I-Time
14	사용하였다.	사용하다.v	Using	O

#anno-id:3501
#text:QN : 리비아는 Tarhunah 공장에서 화학무기를 생산하는 것을 인정하나 ?
0	QN	_	_	O
1	:	_	_	O
2	리비아는	_	_	B-Speaker
3	Tarhunah	_	_	B-Message
4	공장에서	_	_	I-Message
5	화학무기를	_	_	I-Message
6	생산하는	_	_	I-Message
7	것을	_	_	O
8	인정하나	인정하다.v	Statement	O
9	?	_	_	O

#anno-id:3503
#text:실제로, 리비아는 재래식 군대의 열세에 대한 불균형적 반응으로 이미 소규모로 화학전에 의존하여 왔다.
0	실제로,	_	_	O
1	리비아는	_	_	B-Side_1
2	재래식	_	_	O
3	군대의	_	_	O
4	열세에	_	_	O
5	대한	_	_	O
6	불균형적	_	_	O
7	반응으로	_	_	O
8	이미	_	_	O
9	소규모로	_	_	O
10	화학전에	화학전.n	Hostile_encounter	B-Instrument
11	의존하여	_	_	O
12	왔다.	_	_	O

#anno-id:3506
#text:프랑스 지원으로 Chad 군이 리비아 내 군사기지에 기습 공격을 개시하였을 때 카다피는 그의 군대가 수송기로부터 이란이 공급한 겨자 가스 폭탄을 투하하여 Chad 부대를 공격하도록 명령하였다.
0	프랑스	_	_	O
1	지원으로	_	_	O
2	Chad	_	_	B-Possessor
3	군이	군.n	Military	O
4	리비아	_	_	O
5	내	_	_	O
6	군사기지에	_	_	O
7	기습	_	_	O
8	공격을	_	_	O
9	개시하였을	_	_	O
10	때	_	_	O
11	카다피는	_	_	O
12	그의	_	_	O
13	군대가	_	_	O
14	수송기로부터	_	_	O
15	이란이	_	_	O
16	공급한	_	_	O
17	겨자	_	_	O
18	가스	_	_	O
19	폭탄을	_	_	O
20	투하하여	_	_	O
21	Chad	_	_	O
22	부대를	_	_	O
23	공격하도록	_	_	O
24	명령하였다.	_	_	O

#anno-id:3519
#text:카다피는 핵 공격의 위협을 포함하여, 외부 공격으로부터 리비아를 방어하기 위해 미사일이 개발될 것이라고 말하였다.
0	카다피는	_	_	O
1	핵	_	_	B-Part
2	공격의	_	_	I-Part
3	위협을	_	_	I-Part
4	포함하여,	포함하다.v	Inclusion	O
5	외부	_	_	B-Total
6	공격으로부터	_	_	I-Total
7	리비아를	_	_	O
8	방어하기	_	_	O
9	위해	_	_	O
10	미사일이	_	_	O
11	개발될	_	_	O
12	것이라고	_	_	O
13	말하였다.	_	_	O

#anno-id:3525
#text:미국은 리비아의 화학무기 시설에 대해 군사적 조치를 취하겠다고 위협하였나 ?
0	미국은	_	_	B-Speaker
1	리비아의	_	_	B-Message
2	화학무기	_	_	I-Message
3	시설에	_	_	I-Message
4	대해	_	_	I-Message
5	군사적	_	_	I-Message
6	조치를	_	_	I-Message
7	취하겠다고	_	_	I-Message
8	위협하였나	위협하다.v	Commitment	O
9	?	_	_	O

